"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"34784",27573861,"Brooklyn Style Hostel Private Room #5",119669058,"Melissa","Brooklyn","Bedford-Stuyvesant",40.69459,-73.95561,"Private room",55,2,13,"2019-05-02",1.19,34,330
"37110",29505792,"2nd floor art",183707967,"Dionyssios","Manhattan","Washington Heights",40.85416,-73.9292,"Entire home/apt",120,2,14,"2019-06-12",2.12,4,365
"41511",32270656,"Sweet Studio Apartment in Sunnyside",9427289,"Steve","Queens","Sunnyside",40.749,-73.91858,"Entire home/apt",95,3,15,"2019-07-01",4.5,2,23
"41768",32474426,"Private Room in Heart of Brooklyn",35004442,"Perrian","Brooklyn","Bedford-Stuyvesant",40.697,-73.93788,"Private room",96,2,2,"2019-06-21",1.82,1,103
"42936",33344785,"Modern Brand New 3 Bedroom/2 Baths In Hip Brooklyn",147983579,"Chy","Brooklyn","Bedford-Stuyvesant",40.68901,-73.94031,"Entire home/apt",220,4,6,"2019-06-19",2.9,2,230
"1532",693597,"UWS Charming 1 bedroom + loft",2817397,"Larysa","Manhattan","Upper West Side",40.77563,-73.98065,"Entire home/apt",165,30,27,"2019-06-24",0.34,1,128
"41698",32420992,"Large Brooklyn Room! A/C & Rooftop Manhattan Views",15336905,"Michelle","Brooklyn","Bedford-Stuyvesant",40.68837,-73.9356,"Private room",57,2,0,"",NA,1,61
"40579",31465521,"Spacious 3 bed suite next to transit NYC",233732841,"Ori","Manhattan","Washington Heights",40.83397,-73.94541,"Private room",35,1,25,"2019-07-04",4.36,2,80
"47222",35644433,"***Cozy artist loft in heart of Williamsburg***",268150010,"Jessica","Brooklyn","Williamsburg",40.71918,-73.95591,"Entire home/apt",200,2,0,"",NA,1,14
"42966",33365489,"Sunny, Spacious West Village Two-bed/Two-bath",251350235,"Chris","Manhattan","West Village",40.73753,-74.00882,"Entire home/apt",595,2,7,"2019-06-24",2.28,1,80
"44308",34160917,"The Perfect Chic 2BR/1BA Designer Flat in L.E.S.",20377891,"B.","Manhattan","Lower East Side",40.71456,-73.98986,"Entire home/apt",250,1,1,"2019-07-01",1,2,58
"38055",30060926,"3bdrm cozy attic 15 mins from jfk & Belmont track",160940380,"Adeola","Queens","St. Albans",40.69869,-73.749,"Entire home/apt",250,3,4,"2019-06-09",0.63,3,348
"11163",8646618,"NYC suite w/ Bath & Balcony near LGA JFK Manhattan",10164435,"Stella","Queens","Astoria",40.7571,-73.92792,"Private room",77,1,254,"2019-06-24",5.61,3,11
"40845",31733307,"5min fr Belmont Park 15min fr JFK 20min fr LaGuard",234191916,"Dwayne","Queens","Queens Village",40.71131,-73.74623,"Entire home/apt",69,1,34,"2019-06-10",6.46,1,170
"29995",23091139,"Luxurious Private West Village TownHome",66230837,"Jason","Manhattan","West Village",40.73143,-74.00338,"Entire home/apt",850,3,27,"2019-02-25",1.57,1,344
"35930",28540618,"Sweet studio in the heart of Nolita",215403497,"Rebecca","Manhattan","Little Italy",40.71908,-73.99766,"Entire home/apt",150,4,3,"2018-11-28",0.32,1,179
"16362",13156126,"Brownstone garden 2 bedroom duplex, Central Park",5162192,"Amy","Manhattan","Upper West Side",40.79831,-73.96052,"Entire home/apt",202,30,8,"2019-05-20",0.3,12,147
"43872",33915820,"Manhattan Ave Apartment 2 stops from Times Square",18416970,"Ryan","Manhattan","Harlem",40.80712,-73.95686,"Private room",103,2,14,"2019-07-07",5.83,1,19
"15291",12243378,"Lux 2BR-Apt.- NYC near Madison Square Garden!",30283594,"Kara","Manhattan","Midtown",40.76539,-73.98348,"Entire home/apt",369,30,1,"2017-06-02",0.04,121,345
"47249",35654692,"Modern 3BED LOFT Near Metro & Madison Sq.Park",258376648,"Samuel","Manhattan","Murray Hill",40.74673,-73.9792,"Entire home/apt",299,6,0,"",NA,1,57
"45012",34490375,"Renovated Executive Suite near Central Park",260639745,"Manhattan At Times Square","Manhattan","Theater District",40.76267,-73.9839,"Private room",100,1,0,"",NA,15,328
"22844",18499074,"Cozy spacious rooms with natural sunlight",127714840,"Guy","Brooklyn","Bedford-Stuyvesant",40.68144,-73.93429,"Private room",80,5,11,"2019-06-30",0.9,1,340
"30129",23235139,"Sunny, spacious and quiet room in artist residency",56793,"Gisella","Brooklyn","East Flatbush",40.64745,-73.94413,"Private room",50,6,0,"",NA,1,100
"7295",5363874,"2br Duplex w/Roof Deck Close to Empire State Build",17982486,"Cheri","Manhattan","Kips Bay",40.74205,-73.97997,"Entire home/apt",250,30,13,"2018-04-30",0.25,1,274
"21096",16731782,"Private, Windsor Terrace Studio",1384388,"Georgia And Kevin","Brooklyn","Windsor Terrace",40.65552,-73.97493,"Entire home/apt",98,1,122,"2019-06-24",4.13,1,127
"35187",27910595,"Cozy&Clean Suite-private entry, bedroom & bathroom",210843289,"Tajudeen","Staten Island","Mariners Harbor",40.63068,-74.15521,"Private room",40,2,86,"2019-06-25",10.12,1,56
"42044",32666534,"Prospect Brownstone Palace",23388169,"Jessica","Brooklyn","Prospect Heights",40.67616,-73.97009,"Entire home/apt",350,4,3,"2019-06-28",1.11,2,82
"43378",33618578,"★Affordable Clean Private Room#1 in Hell' kitchen★",42222090,"Kita","Manhattan","Upper West Side",40.77029,-73.98761,"Private room",110,3,5,"2019-06-14",2.08,2,158
"3946",2454507,"Close to everything - Jr 1 bedroom",9991763,"Andrew","Manhattan","Financial District",40.70781,-74.00701,"Entire home/apt",130,365,6,"2016-10-02",0.1,1,262
"2609",1359438,"Perfect in Park Slope: EZ 2 NYC",3599914,"Daniel","Brooklyn","Park Slope",40.67274,-73.97339,"Entire home/apt",175,30,58,"2019-06-30",0.81,1,220
"23957",19319184,"Cozy Room, on a Park-themed-Iike Island",135320687,"Ladi","Manhattan","Roosevelt Island",40.76178,-73.94889,"Private room",85,3,24,"2019-05-26",1.13,2,190
"27984",21877805,"New & LEGAL 3BRs/2Bath/Parking near Subway & JFK",159592932,"Alexandra","Brooklyn","East New York",40.66769,-73.88421,"Entire home/apt",159,4,50,"2019-06-20",2.57,1,89
"37137",29517566,"Stunning 4BDRM/2BTH Duplex Loft Best Neighborhood!",222086035,"Vic","Manhattan","Lower East Side",40.71856,-73.98485,"Entire home/apt",700,1,29,"2019-06-24",3.57,1,256
"881",318021,"Room in Huge 1200sf W Harlem Suite",1632149,"Michael","Manhattan","Harlem",40.80343,-73.9531,"Private room",110,3,47,"2019-06-30",0.57,1,248
"28133",21943938,"Brooklyn Studio Tower!",18061262,"Gilana","Brooklyn","Clinton Hill",40.68173,-73.96703,"Entire home/apt",115,15,7,"2018-10-01",0.38,1,5
"13379",10038693,"Studio Loft in Brooklyn",47554473,"Henry Norman","Brooklyn","Greenpoint",40.72734,-73.94451,"Entire home/apt",189,3,7,"2019-05-07",0.21,13,74
"17954",14066228,"Spacious in 1BR East Harlem NYC",46460278,"Amanda","Manhattan","East Harlem",40.79474,-73.9383,"Entire home/apt",110,3,26,"2019-06-23",0.73,1,5
"22031",17725136,"Large room in Bushwick",45387487,"Andrew","Brooklyn","Bushwick",40.69705,-73.92585,"Private room",45,1,0,"",NA,1,1
"19722",15789023,"Stay in a Private Room Close to Manhattan :)",8076496,"Agnes","Queens","Astoria",40.76982,-73.93501,"Private room",60,4,6,"2019-06-06",0.28,1,96
"45991",35025851,"HUGE & COZY 3 BEDROOMS IN HEART OF MANHATTAN!!",226119185,"Jay","Manhattan","Hell's Kitchen",40.76796,-73.98891,"Entire home/apt",599,3,6,"2019-07-03",4.74,1,199
"46224",35157419,"Modern Private BR in Bedstuy Madison",226410657,"Nina","Brooklyn","Bedford-Stuyvesant",40.68717,-73.93113,"Private room",42,30,0,"",NA,27,249
"41472",32241019,"Sonder | Stock Exchange | Smart 1BR + Laundry",219517861,"Sonder (NYC)","Manhattan","Financial District",40.70751,-74.01184,"Entire home/apt",231,2,13,"2019-06-02",3.42,327,331
"46464",35262993,"6BR, 4 Bath (2 Separate Apts) 15 Mins to Manhattan",265463203,"Alesh","Brooklyn","Crown Heights",40.67144,-73.93182,"Entire home/apt",475,2,0,"",NA,3,308
"1155",491123,"Cozy Love Nest Prospect Heights",2427868,"Ada","Brooklyn","Prospect Heights",40.67369,-73.96589,"Private room",102,2,121,"2019-06-17",1.6,1,361
"12351",9530515,"Room #4 in Hip Harlem Garden Apt.",47993495,"Mama","Manhattan","East Harlem",40.79886,-73.93373,"Private room",95,2,169,"2019-06-30",3.87,4,166
"43860",33911027,"Centrally located on Broadway -Quick walk to metro",133555768,"John & Jennifer","Brooklyn","Bedford-Stuyvesant",40.68938,-73.9263,"Private room",35,30,0,"",NA,3,54
"44187",34090389,"Iconic New York penthouse with wraparound terrace",22123114,"Michael","Manhattan","Midtown",40.75797,-73.96356,"Entire home/apt",225,14,1,"2019-06-11",1,1,240
"5699",4148088,"Central Harlem Private Studio",11950557,"Loni & Russ","Manhattan","Harlem",40.80709,-73.94952,"Entire home/apt",135,2,232,"2019-06-23",4.01,1,192
"1031",424767,"Chic, Spacious Loft + Backyard",2103888,"Akari","Manhattan","Midtown",40.74406,-73.98273,"Entire home/apt",325,2,197,"2019-06-20",2.25,1,207
"39268",30596759,"Cozy LES Room",229509602,"Javier","Manhattan","Lower East Side",40.71997,-73.98491,"Private room",85,2,23,"2019-07-07",3.35,1,344
"44712",34369689,"Pat's Place2",256743247,"Patricia","Queens","Bayside",40.7712,-73.78189,"Private room",32,2,7,"2019-07-05",5.68,2,302
"39129",30535180,"Cozy poet’s room in Central Manhattan",14254368,"Jiaoyang","Manhattan","Murray Hill",40.7503,-73.97747,"Private room",75,4,0,"",NA,1,87
"33422",26417856,"Magic Waters - Brooklyn Refuge",6722833,"Paul","Brooklyn","Bedford-Stuyvesant",40.68202,-73.92295,"Entire home/apt",345,2,25,"2019-06-22",2.17,1,321
"37430",29701773,"Chic one bedroom apartment in the heart of NYC",5224789,"Mona","Manhattan","Hell's Kitchen",40.76072,-73.98993,"Entire home/apt",150,4,3,"2019-06-12",0.44,1,3
"8069",6225974,"Central Williamsburg Room",909577,"Jaclyn","Brooklyn","Williamsburg",40.714,-73.96253,"Private room",71,2,162,"2019-07-03",3.18,3,332
"37546",29792553,"Stunningly Bright Room with NYC Skyline Views",10928484,"Stan","Brooklyn","Williamsburg",40.71843,-73.94199,"Private room",299,4,0,"",NA,1,35
"44511",34275316,"Bright and Sunny SoHo Gem",258769304,"Adelaide","Manhattan","SoHo",40.72301,-74.00229,"Entire home/apt",160,4,4,"2019-06-17",2.45,1,21
"8271",6364324,"The Oasis.",33106693,"Elena","Manhattan","Harlem",40.82159,-73.95013,"Private room",16,2,43,"2019-07-01",1.66,3,154
"17966",14071436,"Luxurious Full Floor 2 Bedroom Best Location",61391963,"Corporate Housing","Manhattan","Midtown",40.75683,-73.96901,"Entire home/apt",165,30,0,"",NA,91,147
"38141",30104692,"Quiet apartment. Easy access to L, J/M/Z, G lines.",43089807,"John","Brooklyn","Williamsburg",40.71318,-73.95876,"Entire home/apt",149,2,20,"2019-06-23",2.8,1,263
"44374",34202946,"Sonder | 21 Chelsea | Stunning 1BR + Rooftop",219517861,"Sonder (NYC)","Manhattan","Chelsea",40.74285,-73.99595,"Entire home/apt",277,29,0,"",NA,327,365
"22016",17712166,"Great room in Washington heights!",43098504,"Mike","Manhattan","Washington Heights",40.85022,-73.92903,"Private room",50,4,9,"2018-09-29",0.33,1,83
"5378",3884893,"Convenient Lovely Manhattan Private Bathroom",16715941,"Ian","Manhattan","East Harlem",40.79887,-73.94178,"Private room",95,1,297,"2019-07-03",5.03,2,127
"38544",30316546,"Nice &  clean room, two blocks from Times Square",227671939,"Ivan","Manhattan","Hell's Kitchen",40.76136,-73.99205,"Private room",90,4,26,"2019-07-01",4.29,1,278
"19242",15324045,"TOWNHOUSE  (Backyard/Rooftop + Photoshoots/Events)",9049657,"Benjamin","Brooklyn","Bushwick",40.69003,-73.90891,"Entire home/apt",390,1,131,"2019-07-07",4.11,1,321
"46694",35384238,"Private room 20mins away from the Big Apple",246434428,"Bryan","Queens","Glendale",40.69488,-73.89649,"Private room",40,2,1,"2019-06-17",1,1,90
"5482",3968434,"SUNNY HUDSON RIVER VIEW   2BATHRM APT NEAR SUBWAY",1100494,"Mike&Mavi","Manhattan","Harlem",40.82257,-73.95565,"Private room",50,30,46,"2017-08-24",0.79,3,330
"43089",33433134,"Luxury 1 Bedroom Loft",149080740,"Dakota","Brooklyn","Bedford-Stuyvesant",40.69911,-73.94162,"Private room",69,10,1,"2019-03-30",0.29,1,59
"38851",30406899,"Private room (Paris Room) in Bushwick Brownstone",40305031,"Rob","Brooklyn","Bushwick",40.68583,-73.90985,"Private room",55,1,10,"2019-05-06",1.36,2,365
"13590",10165064,"❤️FAB APT WITH PRIVATE GARDEN NEAR CENTRAL PARK!",39603281,"Marty","Manhattan","Upper West Side",40.79437,-73.97152,"Entire home/apt",165,1,188,"2019-07-05",4.42,1,328
"31818",24826533,"R Bright & Cozy & Modern room 30 mins to Manhattan",130903736,"Anna","Brooklyn","Bedford-Stuyvesant",40.6921,-73.93398,"Private room",59,1,97,"2019-06-26",7.08,1,25
