"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
29831510,"Private Room 2 - Next to Central Park / CU",17822256,"Anna & Frank","Manhattan","Harlem",40.80076,-73.95742,"Private room",95,2,32,"2019-06-22",4,4,163
34866786,"Amazing 2 Bed 2 Bath with Gym in the UWS #6104",116305897,"Laura","Manhattan","Upper West Side",40.78932,-73.97359,"Entire home/apt",250,30,0,"",NA,9,312
16424642,"Skylight loft bed room in large artist house!",3619937,"Freddi","Brooklyn","Bushwick",40.69935,-73.92642,"Private room",41,7,7,"2019-01-16",0.24,2,0
28364587,"A suite with a view of the Empire State Building !",53906227,"James","Manhattan","Theater District",40.75952,-73.98368,"Entire home/apt",84,1,25,"2019-02-12",2.53,1,257
163809,"Cool & Spacious Harlem Artist Flat",781647,"Jorin","Manhattan","Harlem",40.80523,-73.95139,"Entire home/apt",198,5,42,"2019-06-03",0.44,2,234
17281121,"Beautiful 1 bedroom apart, Washington Heights",17713747,"Polly","Manhattan","Washington Heights",40.85369,-73.93237,"Private room",60,7,1,"2018-01-06",0.05,3,0
12681730,"Sunny, Chelsea Manhattan apartment",12534916,"Jonathan","Manhattan","Chelsea",40.74187,-74.00175,"Private room",125,2,0,"",NA,1,0
12797047,"Cute little Studio in East Village/Alphabet City",67311188,"Viola","Manhattan","East Village",40.72125,-73.98058,"Entire home/apt",150,5,1,"2017-08-12",0.04,1,0
7054824,"West Village 1 BR spectacular views",8082431,"Samriti","Manhattan","West Village",40.73489,-74.00182,"Entire home/apt",220,1,84,"2019-06-25",1.75,1,6
16506579,"Interfaith Retreats (Kirtan)",16677326,"Alex And Zeena","Manhattan","Chelsea",40.74788,-73.99615,"Private room",85,1,108,"2019-06-15",3.53,12,356
34997666,"BEAUTIFUL BUDGET STAY IN BROOKLYN 25MINS TO D/TOWN",88113848,"Bunmi","Brooklyn","Borough Park",40.64172,-73.99265,"Private room",56,1,4,"2019-06-09",2.55,2,282
33666359,"Private Entrance Spacious 5 BD Apartment Manhattan",197792014,"Danny","Manhattan","Washington Heights",40.84467,-73.93549,"Entire home/apt",280,2,23,"2019-07-02",8.31,1,215
7750,"Huge 2 BR Upper East  Cental Park",17985,"Sing","Manhattan","East Harlem",40.79685,-73.94872,"Entire home/apt",190,7,0,"",NA,2,249
29483789,"UPPER EAST SIDE LUXURY 2BR Apartment",222057751,"Maayan","Manhattan","Upper East Side",40.75968,-73.95963,"Entire home/apt",299,7,0,"",NA,1,15
28561160,"New York - Private room, perfect location",2570601,"Thirza","Manhattan","Upper West Side",40.7855,-73.97584,"Private room",98,2,7,"2019-03-16",0.8,1,0
27420805,"Peaceful Retreat, One stop from Manhattan",718630,"Sara","Queens","Long Island City",40.74583,-73.95363,"Entire home/apt",150,3,2,"2019-04-21",0.32,1,3
25801507,"Beautiful South Park Slope Brooklyn Apartment",17075886,"Zipi","Brooklyn","Sunset Park",40.66132,-73.99192,"Entire home/apt",280,3,2,"2019-04-28",0.79,1,0
31927597,"Large Room in Prime Bushwick Neighborhood",239375612,"Rebekah","Brooklyn","Bushwick",40.70455,-73.92565,"Private room",30,1,3,"2019-03-31",0.62,1,0
35155176,"2BEDROOM APARTMENT NY CITY",264758587,"Vanessa","Brooklyn","Williamsburg",40.71986,-73.95891,"Entire home/apt",500,3,3,"2019-06-16",2.37,1,353
1914787,"Your home away from home in Comfort",9509269,"Carlos","Queens","Briarwood",40.71477,-73.82012,"Private room",66,5,95,"2019-05-25",1.39,2,301
19057006,"Comfortable room in spacious Brooklyn apartment",85082002,"Steven","Brooklyn","Crown Heights",40.66413,-73.95126,"Private room",60,3,2,"2017-09-09",0.09,1,0
22849615,"The best location - ASTORIA 46th st",46081317,"Fabiana","Queens","Astoria",40.75639,-73.91619,"Private room",50,25,5,"2019-01-01",0.33,3,155
16859099,"Manhattan &Time Square Less than 30min 1st floor.",3158364,"Devika","Queens","Sunnyside",40.73661,-73.92514,"Private room",32,5,47,"2019-07-01",1.61,4,266
36137531,"NYC oasis in Gramercy",14499116,"Michal","Manhattan","Stuyvesant Town",40.73549,-73.97707,"Entire home/apt",250,20,0,"",NA,1,30
4423650,"Private Room - Central Park View",7183243,"Annette","Manhattan","Upper West Side",40.79913,-73.95932,"Private room",97,2,114,"2019-06-24",2,1,363
7224028,"Modest and Cute Room in Bushwick Brooklyn!",5998033,"Eddie","Brooklyn","Bushwick",40.68929,-73.90484,"Private room",36,2,3,"2017-07-01",0.06,1,0
30198386,"Big Cozy Brand New Sunny Studio in Flushing NY!",226769067,"Mike","Queens","Flushing",40.75982,-73.80629,"Entire home/apt",59,1,32,"2019-07-04",4.62,1,24
8615681,"Charming Artistic Loft with Terrace",3699016,"Veronika","Brooklyn","Bedford-Stuyvesant",40.67912,-73.9506,"Entire home/apt",150,4,12,"2017-09-27",0.27,2,0
35603965,"Charming Sunny and Quiet Designer Suite",267651337,"Leo","Manhattan","Midtown",40.7569,-73.96623,"Entire home/apt",170,30,0,"",NA,1,332
6020237,"Beautiful 1BR in West Harlem!",28422099,"D","Manhattan","Morningside Heights",40.81134,-73.95531,"Entire home/apt",155,5,87,"2019-05-25",1.7,1,99
19583985,"Quiet, Large, & Cozy Bedroom in Bushwick Apt - 2",9864136,"Anthony","Brooklyn","Bushwick",40.68652,-73.91365,"Private room",50,1,0,"",NA,26,365
31436965,"Zen One Bedroom in Greenpoint - easy access to NYC",1698607,"Benjamin","Brooklyn","Greenpoint",40.73336,-73.95394,"Entire home/apt",92,4,3,"2019-05-11",0.66,1,95
13548278,"Lovely & Spacious Entire Apt- 18 mins to Manhattan",12777561,"Philippia","Queens","Sunnyside",40.746,-73.91503,"Entire home/apt",125,1,2,"2017-01-01",0.06,1,0
6679063,"Luxury Apt near Time Square",7409073,"Leiya","Manhattan","Hell's Kitchen",40.75885,-73.99584,"Private room",130,7,2,"2015-11-07",0.04,1,0
9865506,"Modern & Sun Filled 1BR in Gramercy",26920640,"Kendall","Manhattan","Gramercy",40.73637,-73.98107,"Entire home/apt",200,2,2,"2016-03-27",0.05,1,0
9280902,"Clean, Quiet, Hip Apt in Bed Stuy",1747007,"Hanson","Brooklyn","Bedford-Stuyvesant",40.69029,-73.95443,"Entire home/apt",98,14,9,"2018-06-04",0.2,1,6
24432539,"Front Big Private Room # 2, size 13x17, 3 Windows",43825074,"Masud","Brooklyn","Cypress Hills",40.68599,-73.87734,"Private room",37,28,6,"2019-06-15",0.43,3,356
32293401,"Private garden and luxury 2-bd apartment in Harlem",18338590,"Terry","Manhattan","Harlem",40.82869,-73.94468,"Entire home/apt",120,30,0,"",NA,1,147
12735986,"Spacious Studio 15 min to Manhattan",69258420,"Arturo","Queens","Astoria",40.75953,-73.91182,"Entire home/apt",135,5,18,"2019-05-26",0.47,1,363
6054400,"Cozy Brooklyn Apartment",18874199,"Alina","Brooklyn","Greenpoint",40.73629,-73.95208,"Entire home/apt",75,1,27,"2015-10-05",0.53,1,0
283090,"Spacious East Village Apartment",511175,"Luis","Manhattan","East Village",40.7241,-73.97899,"Entire home/apt",180,7,24,"2018-08-10",0.26,2,125
4829088,"1BR apartment in the heart of SoHo",854458,"Brian","Manhattan","Greenwich Village",40.72812,-73.99983,"Entire home/apt",180,2,11,"2017-05-22",0.22,1,0
10849426,"Charming Loft on Upper East Side",56193545,"Danny","Manhattan","Upper East Side",40.77516,-73.9555,"Shared room",80,1,0,"",NA,1,0
30437291,"Beautiful large room Manhattan/Roosevelt Island",228524640,"Dragomir","Manhattan","Roosevelt Island",40.7616,-73.95052,"Private room",55,21,1,"2019-03-08",0.24,1,342
21066041,"Private 2 bedroom w/ Rooftop Manhattan View!",6394738,"Lindsay","Brooklyn","Bushwick",40.7049,-73.92448,"Private room",155,1,4,"2017-11-26",0.19,2,0
33127624,"Exclusive home near JFK and Long Island Rail Road.",245002893,"Christopher","Queens","Rosedale",40.66875,-73.73627,"Private room",70,1,3,"2019-06-02",1.11,2,180
791452,"Jazzy condo in Riverdale -fresh grown veggies",2556784,"Claudia","Bronx","Fieldston",40.88757,-73.90522,"Entire home/apt",60,1,25,"2019-07-05",0.67,1,311
35823101,"SO CHILL!! Very spacious and cozy bk apartment !!",269470349,"Jim","Brooklyn","Bushwick",40.70146,-73.91932,"Entire home/apt",75,2,3,"2019-06-28",3,1,163
16285996,"Designers Dream Bed Stuy Studio",26765580,"Brittney","Brooklyn","Bedford-Stuyvesant",40.68393,-73.94967,"Entire home/apt",110,2,91,"2019-06-24",3.02,1,48
30036783,"Bright and spacious 2 bed apartment",225748084,"Kimberley","Brooklyn","Crown Heights",40.67726,-73.95573,"Entire home/apt",140,7,0,"",NA,1,0
19593631,"Entire Apartment near Central Park",2926954,"Ricky","Manhattan","Upper East Side",40.78242,-73.9547,"Entire home/apt",160,2,7,"2019-02-20",0.3,1,0
26744721,"Gorgeous studio ""Hamptons style"" in West Village",8305252,"Lauren","Manhattan","West Village",40.73611,-74.00922,"Entire home/apt",200,3,26,"2019-06-23",2.14,1,67
22790196,"Stunning view in TriBeCa luxury 2 bedrooms",19981762,"Chrystele","Manhattan","Battery Park City",40.7152,-74.01368,"Entire home/apt",980,3,0,"",NA,1,0
31334292,"Luxury studio in Manhattan close to everything",229332180,"Lisa","Manhattan","Hell's Kitchen",40.75483,-73.99689,"Entire home/apt",135,4,0,"",NA,1,0
2524058,"Huge 1 bedroom in the East Village",918543,"Simona","Manhattan","East Village",40.72314,-73.98491,"Entire home/apt",160,5,0,"",NA,1,0
17541599,"Furnished room in Upper East Side apartment",6811053,"Blair","Manhattan","East Harlem",40.78943,-73.9478,"Private room",46,6,1,"2017-03-22",0.04,1,0
35458699,"Cute house close to manhattan",257879526,"Israel","Brooklyn","East Flatbush",40.65926,-73.93468,"Private room",60,2,1,"2019-07-07",1,2,343
34038333,"Walking distance to Central Park",257019090,"Camille","Manhattan","Upper West Side",40.78046,-73.9784,"Entire home/apt",150,4,0,"",NA,1,0
2150750,"Private Bedroom in Sunnyside, NYC ",9268805,"David","Queens","Sunnyside",40.74527,-73.91693,"Private room",60,1,10,"2014-10-12",0.16,2,184
15866121,"A lovely unique space in the heart of Brooklyn",6181203,"Segun","Brooklyn","Crown Heights",40.67638,-73.91578,"Private room",42,4,13,"2018-05-21",0.41,1,364
34516657,"Private Sunny Uptown Manhattan Bedroom",141426597,"Lester","Manhattan","Washington Heights",40.85584,-73.93364,"Private room",105,3,3,"2019-06-11",1.61,3,180
29776797,"Huge bright 1,500SqFt loft. Subway down the street",224029433,"Adrian","Brooklyn","Clinton Hill",40.68215,-73.96526,"Entire home/apt",250,3,15,"2019-06-23",1.99,1,43
14868347,"NYC Studio Apt right by Central Park!!",30283594,"Kara","Manhattan","Midtown",40.76556,-73.98197,"Entire home/apt",199,30,1,"2017-10-25",0.05,121,189
1954429,"Scenic 1 Bedroom sleeps 4",10102581,"Deborah","Manhattan","Washington Heights",40.85516,-73.93717,"Entire home/apt",150,4,0,"",NA,1,0
25829582,"***WELCOME TO MI CASA TU CASA NEAR JFK/LGA AIRPORT",117543014,"Jhon","Queens","Rego Park",40.72691,-73.85478,"Private room",38,2,43,"2019-04-28",3.32,1,0
30193239,"*NO GUEST SERVICE FEE* Beekman Tower One Bedroom Suite  #10",205031545,"Red Awning","Manhattan","Midtown",40.75271,-73.96575,"Entire home/apt",714,28,1,"2019-02-05",0.19,49,257
21652744,"Crown heights hangout",157599851,"Mallory","Brooklyn","Crown Heights",40.67286,-73.94758,"Private room",31,6,0,"",NA,1,0
1628564,"Stylish Room on Express Line to Midtown",5334697,"Shane","Manhattan","Washington Heights",40.83942,-73.93855,"Private room",79,5,112,"2019-07-02",1.59,3,1
22378688,"Lovely apartment",24755691,"筱","Queens","Long Island City",40.75673,-73.93609,"Private room",50,1,10,"2019-06-30",0.53,1,211
32822073,"Cozy apartment w/ Magnificent View!",246422621,"Jimmy","Manhattan","Battery Park City",40.70966,-74.01644,"Private room",69,2,3,"2019-04-15",0.93,1,2
26633920,"Sunny studio apartment in Greenpoint BK",7117901,"Krista","Brooklyn","Greenpoint",40.72878,-73.95823,"Entire home/apt",137,3,0,"",NA,1,0
25341465,"Private Bright Bedroom near 7 Train LGA & JFK",190096034,"Janet","Queens","Corona",40.74464,-73.86012,"Private room",60,1,63,"2019-07-07",5.12,3,155
29899434,"Very Private One Bedroom Apt near NYU in Manhattan",224825910,"Dee","Manhattan","Kips Bay",40.74273,-73.97998,"Entire home/apt",100,1,5,"2019-01-19",0.64,1,0
5695566,"Cozy room for short term sublet",29528182,"Jerie","Brooklyn","Bedford-Stuyvesant",40.6792,-73.95358,"Private room",40,10,2,"2015-04-08",0.04,1,0
32714417,"Modern, Deluxe 1 bedroom apt in prime of NYC!",30283594,"Kara","Manhattan","Hell's Kitchen",40.76168,-73.9996,"Entire home/apt",350,30,0,"",NA,121,364
24746840,"Cozy gem in Bushwick/Bed-stuy",63671528,"Patricia","Brooklyn","Bedford-Stuyvesant",40.69475,-73.93586,"Private room",40,7,1,"2018-05-27",0.07,1,0
33687456,"New York at Christmas Time! Dec. 17-20",253925102,"Chris","Manhattan","Midtown",40.75166,-73.97154,"Private room",600,3,0,"",NA,1,96
6452019,"Loft Studio Midtown Lux Doorman",17408676,"Patrick","Manhattan","Midtown",40.74957,-73.98255,"Entire home/apt",195,3,5,"2018-05-19",0.1,1,0
18358470,"Spacious 2 bedrooms Loft in Brooklyn",7503643,"Vida","Brooklyn","Greenpoint",40.72564,-73.93989,"Entire home/apt",199,30,3,"2018-10-31",0.28,52,310
11033476,"Spacious Bedroom near Prospect Park",57257971,"Jenna","Brooklyn","Sunset Park",40.66227,-73.99138,"Private room",50,1,1,"2016-02-12",0.02,1,0
31953973,"Luxury 1 Bedroom -Midtown/Times Square/Centralpark",37412692,"Kim","Manhattan","Midtown",40.76467,-73.98277,"Entire home/apt",115,30,0,"",NA,4,362
20881375,"Cute little room",104300362,"Cristina","Queens","East Elmhurst",40.75596,-73.89702,"Private room",45,4,17,"2019-06-10",0.79,1,314
11944718,"Central Park North- 1 bed Apt to share (female)",13509844,"Ara","Manhattan","East Harlem",40.79665,-73.94928,"Private room",69,7,7,"2016-08-14",0.18,1,0
30708899,"☆Cozy bedroom in Midtown | 1min to 4 subway lines☆",164051353,"Warren","Manhattan","Chelsea",40.74836,-73.98921,"Private room",133,1,17,"2019-06-23",4.32,3,87
25997937,"Deluxe Loft Suite",57257950,"Franklin","Brooklyn","Greenpoint",40.73218,-73.95855,"Private room",399,1,1,"2018-09-03",0.1,4,249
30312807,"Quaint 1 Bedroom in Beautiful Astoria Queens",3390942,"Zahi","Queens","Ditmars Steinway",40.77556,-73.90866,"Private room",60,3,6,"2019-06-18",0.84,1,43
5557684,"Private Rm/Bath in Fab Brickstone",9035762,"Laura & Tim","Brooklyn","Bushwick",40.69099,-73.91665,"Private room",75,1,8,"2017-01-01",0.17,1,281
20325986,"Brooklyn Condominium - Bushwick",145013050,"Dylan","Brooklyn","Bushwick",40.70423,-73.91595,"Private room",75,1,3,"2017-09-01",0.13,1,0
7330488,"Charming Classic UWS Bedroom & Balcony",18008678,"Clayton","Manhattan","Upper West Side",40.80243,-73.9706,"Private room",100,2,33,"2018-04-20",0.68,2,0
27854183,"Private Room in the heart of Williamsburg",35959456,"Karim","Brooklyn","Williamsburg",40.71893,-73.95866,"Private room",95,1,47,"2019-07-06",4.35,1,28
197753,"Large room in elevator drman bldg",964482,"Colin","Manhattan","Harlem",40.83127,-73.94718,"Private room",68,2,295,"2019-06-12",3.9,2,188
29287113,"Hunts Point Studio Apt",73453515,"Kerlyne","Bronx","Hunts Point",40.81819,-73.88653,"Entire home/apt",150,2,5,"2018-11-12",0.57,1,0
30246807,"Stay into heart of Brooklyn close  Prospect Park B",227134858,"Hitalo","Brooklyn","Prospect-Lefferts Gardens",40.66225,-73.94126,"Private room",74,1,20,"2019-06-23",2.83,5,125
35735822,"Great Room! Great Price! 
Can wait to see you !",268198789,"Davica","Brooklyn","Cypress Hills",40.67804,-73.86761,"Private room",48,2,1,"2019-07-02",1,2,348
5505726,"Modern One Bed Apt Near Time Square",25602417,"Jardeen","Manhattan","Hell's Kitchen",40.7624,-73.99136,"Entire home/apt",250,2,64,"2019-06-21",1.96,1,27
30062210,"Cozy Four Twenty Friendly Bedroom in Brooklyn",225913497,"Mamadou","Brooklyn","Bedford-Stuyvesant",40.67966,-73.90755,"Private room",28,3,1,"2019-01-01",0.16,1,0
4785563,"Holiday Sublet in Carroll Gardens",1977947,"Stephanie","Brooklyn","Carroll Gardens",40.67725,-73.99968,"Private room",100,1,0,"",NA,1,0
22067764,"Williamsburg - great view and elevator into apt",24051464,"Martin","Brooklyn","Williamsburg",40.71811,-73.94414,"Private room",75,1,1,"2017-12-12",0.05,1,0
10591658,"Beautiful Studio in Soho - Greenwich Village",14077910,"Sabrina And Antoine","Manhattan","Greenwich Village",40.72843,-73.9999,"Entire home/apt",175,60,28,"2019-03-29",0.7,1,126
22050355,"Home Sweet Home in Astoria",125011763,"Peter","Queens","Astoria",40.76106,-73.9078,"Entire home/apt",95,1,64,"2019-06-22",3.43,2,96
26335893,"Natural Light - Airy and Large Apartment",36644104,"Jack","Manhattan","Midtown",40.75786,-73.96679,"Entire home/apt",200,7,8,"2018-12-04",0.76,1,0
11011759,"Modern, fun and sophisticated 1BR",38968716,"Ali","Manhattan","Kips Bay",40.73939,-73.983,"Entire home/apt",250,28,5,"2017-05-30",0.13,1,0
15585484,"Awesome apartment in the heart of Soho",100421535,"Fernanda","Manhattan","SoHo",40.72524,-74.00218,"Entire home/apt",350,5,2,"2016-12-31",0.06,1,0
32959357,"cozy bedroom",56265076,"Andrea","Queens","Kew Gardens Hills",40.7201,-73.81043,"Private room",50,7,0,"",NA,2,0
29356840,"Creative House for Travelers and Other Creatives",215022472,"Andrea","Brooklyn","Bedford-Stuyvesant",40.69032,-73.95283,"Private room",51,4,19,"2019-07-01",2.16,1,189
15261353,"Sunny Studio in Midtown Manhattan",2742827,"Christiane","Manhattan","Kips Bay",40.74533,-73.9772,"Entire home/apt",128,2,5,"2018-05-28",0.19,1,0
4614435,"Bright Studio on Riverside Park",8530836,"Katarina","Manhattan","Harlem",40.82458,-73.95223,"Entire home/apt",100,4,5,"2017-09-25",0.09,1,105
8291897,"Cozy with Great location !!",43719073,"Nora","Brooklyn","Sheepshead Bay",40.6,-73.95612,"Shared room",45,1,126,"2019-07-01",2.94,5,342
30930990,"Great location in midtown east!!!!",170223089,"Dor","Manhattan","Midtown",40.76011,-73.97051,"Entire home/apt",116,2,28,"2019-07-01",4.57,1,99
22343079,"Sunny and Private Room close to Manhattan!!!",107953084,"Ervita","Brooklyn","Prospect-Lefferts Gardens",40.66316,-73.95326,"Private room",75,2,61,"2019-07-02",3.26,3,265
34688096,"BEAUTIFUL 4BEDS / 2 BATHS -  ROOF & GYM",261669663,"Brenda","Brooklyn","Bushwick",40.69854,-73.92642,"Entire home/apt",275,3,7,"2019-07-05",4.04,1,339
29852402,"Flex Room With Private Patio in Bushwick",60258049,"John","Brooklyn","Bushwick",40.69061,-73.90815,"Shared room",42,2,5,"2019-01-01",0.67,1,0
35168757,"Stunning Gramercy Studio",24674100,"Grace","Manhattan","Kips Bay",40.74221,-73.97997,"Entire home/apt",100,25,0,"",NA,1,54
9470677,"Fifth Ave/Central Park 1BR IN A TownHouse Garden",49083612,"Joe","Manhattan","Upper East Side",40.76656,-73.97038,"Entire home/apt",209,1,116,"2019-06-23",2.63,1,168
25587778,"Cozy Bedroom Full of Sunshine",46979077,"Maya","Queens","Woodside",40.74286,-73.89163,"Private room",50,1,57,"2019-06-23",4.37,2,295
33942517,"Cozy Three-Bedroom Apartment - Brooklyn",236796242,"Em","Brooklyn","Bedford-Stuyvesant",40.68737,-73.94346,"Entire home/apt",140,1,3,"2019-06-24",1.8,1,316
21950138,"Beautiful 3 bedroom Brownstone in Boerum Hill",25321849,"Anne","Brooklyn","Boerum Hill",40.6853,-73.98804,"Entire home/apt",550,3,6,"2019-05-27",0.42,2,14
28699887,"Brooklyn Home",44338944,"Ethan","Brooklyn","Sunset Park",40.64349,-74.02347,"Entire home/apt",80,14,2,"2019-05-31",0.24,1,184
26440780,"Loft in Downtown Brooklyn - entire apartment",16753104,"Robert","Brooklyn","Downtown Brooklyn",40.69206,-73.98445,"Entire home/apt",160,4,5,"2019-01-01",0.44,1,0
4727889,"Beautiful Light Filled Apartment in New York City!",10679309,"Kirac","Manhattan","Midtown",40.74578,-73.98076,"Entire home/apt",130,1,3,"2019-04-07",0.08,2,0
2716009,"Large Two Bedroom Brooklyn Loft",3964453,"Naz","Brooklyn","Red Hook",40.67795,-74.00747,"Entire home/apt",200,2,17,"2019-07-03",1.68,1,81
30257236,"Crown Heights Wellness Gem",3642820,"Jesal","Brooklyn","Crown Heights",40.67672,-73.95839,"Private room",80,2,11,"2019-07-02",2.5,1,28
299062,"1 Bdrm in 2 Bdrm Apt in Upper East Lux Drmn Bldng",236421,"Jessica","Manhattan","Upper East Side",40.77272,-73.95307,"Private room",190,3,0,"",NA,2,0
3601900,"Cozy Private Room in the heights!",18147523,"Carli","Manhattan","Washington Heights",40.84943,-73.93146,"Private room",50,1,14,"2018-01-01",0.23,1,0
34206858,"Good Day New York - Comfy Queen",252604696,"Erin","Manhattan","Chelsea",40.74914,-73.99471,"Private room",199,1,0,"",NA,20,365
19994533,"Bright & Beautiful 1BR Apartment in East Village",2491844,"Maurizio","Manhattan","East Village",40.7248,-73.98774,"Entire home/apt",150,5,1,"2018-07-16",0.08,1,5
14466137,"Crown Heights Cozy 2 Bedroom apt.",88001494,"Mendy","Brooklyn","Crown Heights",40.66737,-73.93661,"Private room",85,3,55,"2019-07-06",1.56,3,49
5581442,"Home 4 Medical Professionals- St Johns Episcopal 4",26377263,"Stat","Queens","Far Rockaway",40.59594,-73.75492,"Private room",38,30,5,"2017-05-13",0.1,43,312
1137093,"Triplex Penthouse in New York",5446918,"Paresh","Brooklyn","Williamsburg",40.71756,-73.94839,"Entire home/apt",300,5,34,"2019-06-15",0.46,1,365
13642073,"Bright spacious Brooklyn Apartment near Pratt",1316648,"Savannah","Brooklyn","Bedford-Stuyvesant",40.69119,-73.9601,"Entire home/apt",110,4,7,"2019-04-23",0.2,1,0
6005910,"3 BDR Apt-Just Minutes to Manhattan",23044811,"Ettrick","Brooklyn","Bedford-Stuyvesant",40.68569,-73.94358,"Entire home/apt",139,2,119,"2019-06-09",2.31,2,175
25807578,"Cute Brooklyn One Bedroom Apartment",22208953,"Kirstie","Brooklyn","Prospect-Lefferts Gardens",40.65548,-73.95707,"Entire home/apt",100,7,5,"2018-08-06",0.39,1,1
22611934,"West Harlem- Recently renovated apartment for rent",74982218,"Miki","Manhattan","Harlem",40.81309,-73.95336,"Private room",32,4,45,"2019-07-01",2.53,2,38
3567258,"Beautiful Loft in Union Square",298914,"Fara","Manhattan","Gramercy",40.73711,-73.98985,"Entire home/apt",220,4,60,"2019-06-24",1.01,1,4
1264663,"Prospect Park Apt With Terrace",809716,"Adero","Brooklyn","Prospect-Lefferts Gardens",40.65994,-73.95892,"Entire home/apt",350,5,0,"",NA,1,365
4701425,"Master Bedroom in E.Village Triplex",7460434,"Rocco","Manhattan","East Village",40.72119,-73.98021,"Private room",120,3,25,"2019-06-06",0.46,2,89
10541080,"Gorgeous & cozy studio in Manhattan",36710280,"Carolina","Manhattan","Upper West Side",40.78975,-73.97001,"Entire home/apt",150,1,4,"2017-04-18",0.11,1,0
23269735,"Light Flooded Artist Loft in Brooklyn",149047,"Heather Nadine","Brooklyn","Bedford-Stuyvesant",40.69158,-73.95958,"Entire home/apt",150,4,6,"2019-07-08",0.63,1,11
18561365,"Artist Apartment Fort Greene / Clinton Hill",8146232,"Marty","Brooklyn","Clinton Hill",40.69229,-73.96504,"Entire home/apt",120,1,3,"2017-08-06",0.12,1,0
11228611,"COZY CLEAN ROOM 7 MIN FROM JFK",20134231,"Paulette","Queens","Springfield Gardens",40.66275,-73.76391,"Private room",40,2,375,"2019-06-16",9.26,3,336
23216832,"Heart of Williamsburg, Private Bedroom in 2BR Apt",2589436,"Sarah","Brooklyn","Williamsburg",40.71619,-73.95641,"Private room",50,14,0,"",NA,2,0
32618577,"1st Floor, Room # 9 (8' x 12')",244817841,"Aminul","Brooklyn","East New York",40.66946,-73.89404,"Private room",35,7,5,"2019-04-29",1.33,13,116
190968,"Lovely Brooklyn Brownstone 1BR!",922922,"Karen","Brooklyn","Prospect Heights",40.67946,-73.96501,"Entire home/apt",215,3,33,"2019-05-08",0.35,1,156
34209885,"Sonder | 11th Ave | Modern 1BR + Gym",219517861,"Sonder (NYC)","Manhattan","Hell's Kitchen",40.76218,-73.99646,"Entire home/apt",189,29,0,"",NA,327,333
9529493,"Large hip open-space loft",1461344,"Adam","Brooklyn","Williamsburg",40.71218,-73.95766,"Entire home/apt",245,3,20,"2019-07-01",0.46,1,128
22005115,"Two floor apartment near Central Park",82746113,"Cecilia","Manhattan","Upper West Side",40.78761,-73.96862,"Entire home/apt",135,5,1,"2019-06-30",1,2,145
29209396,"Room with King sized bed in the heart of Bushwick",200182757,"Rosie","Brooklyn","Bushwick",40.70696,-73.9199,"Private room",50,2,31,"2019-06-20",3.86,2,273
